logp	R	ID
-0.74255	-0.461	451
-0.74276	-0.461	452
-0.74316	-0.461	453
-0.74243	-0.461	454
-0.74236	-0.461	455
-0.74306	-0.461	456
-0.74307	-0.461	457
-0.74212	-0.461	458
-0.74079	-0.46	459
-0.73956	-0.459	460
-0.73861	-0.459	461
-0.73832	-0.459	462
-0.73976	-0.459	463
-0.73762	-0.458	464
-0.73769	-0.458	465
-0.73635	-0.458	466
-0.7368	-0.458	467
-0.73585	-0.457	468
-0.73506	-0.457	469
-0.73488	-0.457	470
-0.73602	-0.457	471
-0.73516	-0.457	472
-0.73386	-0.456	473
-0.73318	-0.456	474
-0.7333	-0.456	475
-0.73398	-0.456	476
-0.7331	-0.456	477
-0.73252	-0.456	478
-0.73293	-0.456	479
-0.73075	-0.455	480
-0.73144	-0.455	481
-0.72638	-0.452	482
-0.72666	-0.452	483
-0.72644	-0.452	484
-0.72402	-0.451	485
-0.72377	-0.451	486
-0.72378	-0.451	487
-0.723	-0.451	488
-0.7243	-0.451	489
-0.72159	-0.45	490
-0.72278	-0.45	491
-0.72251	-0.45	492
-0.72209	-0.45	493
-0.71911	-0.449	494
-0.71719	-0.448	495
-0.71827	-0.448	496
-0.71617	-0.447	497
-0.71662	-0.447	498
-0.71526	-0.447	499
-0.71383	-0.446	500
-0.71408	-0.446	501
-0.71396	-0.446	502
-0.71268	-0.445	503
-0.71198	-0.445	504
-0.71192	-0.445	505
-0.71119	-0.444	506
-0.70993	-0.444	507
-0.71062	-0.444	508
-0.71085	-0.444	509
-0.70761	-0.443	510
-0.70866	-0.443	511
-0.70828	-0.443	512
-0.70648	-0.442	513
-0.70617	-0.442	514
-0.70655	-0.442	515
-0.70651	-0.442	516
-0.70622	-0.442	517
-0.70573	-0.442	518
-0.70362	-0.441	519
-0.70455	-0.441	520
-0.70299	-0.44	521
-0.70165	-0.44	522
-0.70258	-0.44	523
-0.69985	-0.439	524
-0.70133	-0.439	525
-0.69804	-0.438	526
-0.69787	-0.438	527
-0.69698	-0.437	528
-0.69621	-0.437	529
-0.69313	-0.435	530
-0.69179	-0.435	531
-0.69317	-0.435	532
-0.69354	-0.435	533
-0.6919	-0.435	534
-0.69237	-0.435	535
-0.69144	-0.434	536
-0.69015	-0.434	537
-0.69038	-0.434	538
-0.69151	-0.434	539
-0.69151	-0.434	540
-0.69035	-0.434	541
-0.68888	-0.433	542
-0.68907	-0.433	543
-0.68858	-0.433	544
-0.68679	-0.432	545
-0.68709	-0.432	546
-0.68508	-0.431	547
-0.68421	-0.431	548
-0.68404	-0.431	549
-0.68524	-0.431	550
-0.68517	-0.431	551
-0.68415	-0.431	552
-0.68397	-0.431	553
-0.68344	-0.43	554
-0.68047	-0.429	555
-0.68136	-0.429	556
-0.68026	-0.429	557
-0.67826	-0.428	558
-0.67922	-0.428	559
-0.67837	-0.428	560
-0.67678	-0.427	561
-0.67766	-0.427	562
-0.67406	-0.426	563
-0.67561	-0.426	564
-0.67567	-0.426	565
-0.67388	-0.426	566
-0.67277	-0.425	567
-0.67019	-0.424	568
-0.671	-0.424	569
-0.67032	-0.424	570
-0.67156	-0.424	571
-0.67173	-0.424	572
-0.66893	-0.423	573
-0.66818	-0.423	574
-0.66809	-0.423	575
-0.66699	-0.422	576
-0.66712	-0.422	577
-0.6667	-0.422	578
-0.66631	-0.422	579
-0.66664	-0.422	580
-0.66737	-0.422	581
-0.66563	-0.421	582
-0.66534	-0.421	583
-0.66191	-0.42	584
-0.66252	-0.42	585
-0.66266	-0.42	586
-0.6605	-0.419	587
-0.66104	-0.419	588
-0.66108	-0.419	589
-0.66112	-0.419	590
-0.66093	-0.419	591
-0.6584	-0.418	592
-0.65852	-0.418	593
-0.65841	-0.418	594
-0.65876	-0.418	595
-0.65795	-0.418	596
-0.65955	-0.418	597
-0.65603	-0.417	598
-0.65719	-0.417	599
-0.65754	-0.417	600
-0.65622	-0.417	601
-0.65742	-0.417	602
-0.65672	-0.417	603
-0.65627	-0.417	604
-0.65617	-0.417	605
-0.65503	-0.416	606
-0.65576	-0.416	607
-0.65424	-0.416	608
-0.65271	-0.415	609
-0.65118	-0.414	610
-0.6517	-0.414	611
-0.65151	-0.414	612
-0.6514	-0.414	613
-0.6492	-0.413	614
-0.64868	-0.413	615
-0.64851	-0.413	616
-0.64867	-0.413	617
-0.64608	-0.412	618
-0.64604	-0.412	619
-0.64371	-0.411	620
-0.64514	-0.411	621
-0.64262	-0.41	622
-0.64252	-0.41	623
-0.6408	-0.409	624
-0.64126	-0.409	625
-0.64153	-0.409	626
-0.63814	-0.408	627
-0.63611	-0.407	628
-0.63718	-0.407	629
-0.63559	-0.407	630
-0.63353	-0.406	631
-0.63433	-0.406	632
-0.63478	-0.406	633
-0.63328	-0.405	634
-0.63058	-0.404	635
-0.62963	-0.404	636
-0.63048	-0.404	637
-0.62828	-0.403	638
-0.62746	-0.403	639
-0.62598	-0.402	640
-0.6268	-0.402	641
-0.62526	-0.402	642
-0.62656	-0.402	643
-0.62705	-0.402	644
-0.62502	-0.401	645
-0.62327	-0.401	646
-0.62305	-0.401	647
-0.62451	-0.401	648
-0.6215	-0.4	649
-0.62119	-0.4	650
-0.62204	-0.4	651
-0.62023	-0.399	652
-0.61997	-0.399	653
-0.61937	-0.399	654
-0.61811	-0.398	655
-0.61504	-0.397	656
-0.61652	-0.397	657
-0.61326	-0.396	658
-0.61344	-0.396	659
-0.61198	-0.395	660
-0.61249	-0.395	661
-0.61236	-0.395	662
-0.61216	-0.395	663
-0.61058	-0.395	664
-0.60867	-0.394	665
-0.61045	-0.394	666
-0.60728	-0.393	667
-0.60661	-0.393	668
-0.60778	-0.393	669
-0.60599	-0.392	670
-0.60562	-0.392	671
-0.60533	-0.392	672
-0.605	-0.392	673
-0.60361	-0.391	674
-0.60334	-0.391	675
-0.60306	-0.391	676
-0.60266	-0.391	677
-0.60321	-0.391	678
-0.60272	-0.391	679
-0.60233	-0.391	680
-0.6036	-0.391	681
-0.60131	-0.39	682
-0.60057	-0.39	683
-0.6021	-0.39	684
-0.60179	-0.39	685
-0.59868	-0.389	686
-0.59814	-0.389	687
-0.59797	-0.389	688
-0.59768	-0.388	689
-0.59655	-0.388	690
-0.59717	-0.388	691
-0.59736	-0.388	692
-0.59641	-0.388	693
-0.59653	-0.388	694
-0.59385	-0.387	695
-0.59567	-0.387	696
-0.5929	-0.386	697
-0.59368	-0.386	698
-0.59319	-0.386	699
-0.58959	-0.385	700
-0.59154	-0.385	701
-0.59056	-0.385	702
-0.58951	-0.385	703
-0.58751	-0.384	704
-0.58848	-0.384	705
-0.58641	-0.383	706
-0.58725	-0.383	707
-0.58625	-0.383	708
-0.58377	-0.382	709
-0.58154	-0.381	710
-0.58019	-0.38	711
-0.58018	-0.38	712
-0.57771	-0.379	713
-0.57671	-0.379	714
-0.57757	-0.379	715
-0.57771	-0.379	716
-0.57588	-0.378	717
-0.57493	-0.378	718
-0.57504	-0.378	719
-0.57632	-0.378	720
-0.57635	-0.378	721
-0.57279	-0.377	722
-0.57248	-0.377	723
-0.57187	-0.376	724
-0.56807	-0.375	725
-0.56817	-0.375	726
-0.56884	-0.375	727
-0.56959	-0.375	728
-0.5669	-0.374	729
-0.56645	-0.374	730
-0.5679	-0.374	731
-0.56787	-0.374	732
-0.56574	-0.373	733
-0.56552	-0.373	734
-0.56513	-0.373	735
-0.56146	-0.371	736
-0.55982	-0.371	737
-0.56064	-0.371	738
-0.5585	-0.37	739
-0.55878	-0.37	740
-0.55716	-0.37	741
-0.55826	-0.37	742
-0.55738	-0.37	743
-0.55929	-0.37	744
-0.55747	-0.37	745
-0.55574	-0.369	746
-0.5565	-0.369	747
-0.55452	-0.368	748
-0.55468	-0.368	749
-0.55376	-0.368	750
-0.55139	-0.367	751
-0.55032	-0.366	752
-0.5494	-0.366	753
-0.54731	-0.365	754
-0.54669	-0.365	755
-0.54721	-0.365	756
-0.54716	-0.365	757
-0.54788	-0.365	758
-0.54572	-0.364	759
-0.54273	-0.363	760
-0.54318	-0.363	761
-0.54371	-0.363	762
-0.54267	-0.363	763
-0.54347	-0.363	764
-0.54003	-0.362	765
-0.54061	-0.362	766
-0.53795	-0.361	767
-0.53763	-0.361	768
-0.53909	-0.361	769
-0.53404	-0.359	770
-0.53456	-0.359	771
-0.53231	-0.358	772
-0.53201	-0.358	773
-0.53186	-0.358	774
-0.53281	-0.358	775
-0.53144	-0.358	776
-0.53265	-0.358	777
-0.52893	-0.357	778
-0.52876	-0.357	779
-0.52947	-0.357	780
-0.52828	-0.356	781
-0.52692	-0.356	782
-0.52652	-0.356	783
